2015-06-09 11:33:09,984 [7] INFO  umbraco.content - [Thread 10] Successfully loaded Xml from file.
2015-06-09 11:33:10,208 [7] INFO  Umbraco.Core.PluginManager - [Thread 9] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-06-09 11:33:10,210 [7] INFO  Umbraco.Core.PluginManager - [Thread 9] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 1ms)
2015-06-09 11:44:51,600 [7] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner`1[[Umbraco.Web.Scheduling.IBackgroundTask, umbraco, Version=1.0.5610.18898, Culture=neutral, PublicKeyToken=null]] - [Thread 30] Down, tasks completed.
2015-06-09 11:44:51,600 [7] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner`1[[Umbraco.Web.Scheduling.IBackgroundTask, umbraco, Version=1.0.5610.18898, Culture=neutral, PublicKeyToken=null]] - [Thread 30] Down, tasks completed.
2015-06-09 11:44:51,600 [7] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner`1[[Umbraco.Web.Scheduling.IBackgroundTask, umbraco, Version=1.0.5610.18898, Culture=neutral, PublicKeyToken=null]] - [Thread 30] Down, tasks completed.
2015-06-09 11:44:51,688 [7] INFO  umbraco.content - [Thread 11] Save Xml to file...
2015-06-09 11:44:52,058 [7] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner`1[[Umbraco.Web.PublishedCache.XmlPublishedCache.XmlCacheFilePersister, umbraco, Version=1.0.5610.18898, Culture=neutral, PublicKeyToken=null]] - [Thread 26] Down, tasks completed.
2015-06-09 11:44:52,532 [7] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 30] Application shutdown. Reason: ConfigurationChange
2015-06-09 11:49:58,082 [25] INFO  Umbraco.Core.PluginManager - [Thread 29] Determining hash of code files on disk
2015-06-09 11:49:58,145 [25] INFO  Umbraco.Core.PluginManager - [Thread 29] Hash determined (took 56ms)
2015-06-09 11:49:58,158 [25] INFO  Umbraco.Core.PluginManager - [Thread 29] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-06-09 11:49:58,179 [25] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 19ms)
2015-06-09 11:49:58,349 [25] INFO  Umbraco.Core.PluginManager - [Thread 29] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
